"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://knightlogics.com/","text/html; charset=utf-8","200","OK","Indexable","","Knight Logics | Tampa Bay Websites & Local SEO","46","436","Knight Logics — Tampa Bay websites, local SEO & Google Business Profile systems that rank and convert. Free growth audit for service businesses.","144","908","Tampa Bay business growth systems, local SEO Tampa, web design Safety Harbor, small business automation Florida, Google Business Profile optimization","149","Knight Logics Business Development, Websites & Visibility Systems","65","Talk Through Your Project","25","Business development & websites engineered to outrank & outsell.","64","","","","https://knightlogics.com/","","","","","","232720","42413","42413","6.286","","3449","601","5.739","63.109","Normal","11.053","0","0","","112","97","0","97.980","130","62","0","13","13","0","","","","","810be22cb346b520a9086725eaf3ae5c","0.053","Sat, 25 Jul 2026 17:55:43 GMT","","","","en","1.1","","","","","","https://knightlogics.com/","2026-07-25 14:51:33"
"https://knightlogics.com/pricing?openPackage=website-local-seo-starter","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","0","","4","3","0","3.030","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://knightlogics.com/pricing?openPackage=website-local-seo-starter","2026-07-25 14:51:34"
"https://knightlogics.com/case-study-screen-team","text/html; charset=utf-8","200","OK","Indexable","","Screen Team LLC Case Study | Knight Logics","42","400","Case study: ScreenTeamLLC.com growth system by Knight Logics with CRM, email automation, social systems, and directory groundwork.","130","856","","0","Performance + Local SEO — Screen Team LLC","41","Site walkthrough & proof","24","Service depth and local SEO for Tampa Bay screen repair","55","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-screen-team","","","","","","49849","10742","10742","1.592","","1464","245","5.976","53.529","Fairly Hard","20.581","1","0","","74","39","0","39.390","25","23","0","3","3","0","","","","","1e17b658ac84a5fbb55325b43cb9b63d","0.110","Sat, 25 Jul 2026 18:51:35 GMT","","","","en","1.1","","","","","","https://knightlogics.com/case-study-screen-team","2026-07-25 14:51:34"
"https://knightlogics.com/style.css?v=20260725pricing4","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.115","Sat, 25 Jul 2026 17:53:49 GMT","","","","","1.1","","","","","","https://knightlogics.com/style.css?v=20260725pricing4","2026-07-25 14:51:34"
"https://knightlogics.com/images/videoforge-app-icon.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","50582","50582","50582","7.496","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.193","Sat, 25 Jul 2026 18:51:35 GMT","","","","","1.1","","","","","","https://knightlogics.com/images/videoforge-app-icon.webp","2026-07-25 14:51:34"
"https://knightlogics.com/case-study-sals-painting","text/html; charset=utf-8","200","OK","Indexable","","Sal's Painting Case Study | Knight Logics","41","361","Case study: Sal's Painting starter site by Knight Logics with GA4, Clarity, Search Console, and core technical SEO.","115","694","","0","Live Client Build — Sal's Painting & Basic Renovations","54","Site walkthrough & proof","24","What This Build Includes","24","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-sals-painting","","","","","","45062","9625","9625","1.426","","1045","191","5.471","52.969","Fairly Hard","16.565","1","0","","12","8","0","8.080","25","23","0","4","4","0","","","","","cc72bd4a0cdbdf3fc8a52ba04afbc8ce","0.189","Sat, 25 Jul 2026 18:51:35 GMT","","","","en","1.1","","","","","","https://knightlogics.com/case-study-sals-painting","2026-07-25 14:51:34"
"https://knightlogics.com/ticketing-invoicing-job-workflows","text/html; charset=utf-8","200","OK","Indexable","","Ticketing, Invoicing & Job Workflows | Knight Logics","52","460","Ticketing, invoicing & job workflows — field photos, PDF proof, Stripe invoices, and portal closeout paths for Tampa Bay contractors and vendors.","145","893","contractor job tracking software, ticket invoice workflow, field service invoicing","82","Ticketing, Invoicing & Job Workflow Systems","43","One path from portal ticket to paid invoice","43","Portal tickets, photos, and invoices live in disconnected tools","63","","","","https://knightlogics.com/ticketing-invoicing-job-workflows","","","","","","29184","6063","6063","0.899","","1059","168","6.304","60.236","Normal","23.987","1","0","","17","8","0","8.080","14","8","0","0","0","0","","","","","557aacc947b3edd40f461198077103a","0.076","Sat, 25 Jul 2026 18:51:35 GMT","","","","en","1.1","","","","","","https://knightlogics.com/ticketing-invoicing-job-workflows","2026-07-25 14:51:34"
"https://knightlogics.com/automation","text/html; charset=utf-8","200","OK","Indexable","","Business Automation Systems | Knight Logics","43","408","Business automation systems — CRM outreach, Email-Agent, social posting, referral tracking, and ops tools for small businesses.","127","794","business automation Tampa, CRM automation demo, workflow automation small business, Knight Logics automation","108","Websites are the front door. Automation is what keeps the business moving.","74","What we automate","16","Automation systems in action","28","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/automation","","","","","","46004","9412","9412","1.395","","1267","227","5.581","59.346","Fairly Hard","19.303","1","0","","44","38","0","38.380","41","31","0","0","0","0","","","","","4180edef27448a01b4ff96e8c583d561","0.119","Sat, 25 Jul 2026 18:51:35 GMT","","","","en","1.1","","","","","","https://knightlogics.com/automation","2026-07-25 14:51:34"
"https://knightlogics.com/package-local-launch","text/html; charset=utf-8","200","OK","Indexable","","Local Site ($1,200 · up to 15 pages) | Knight Logics","52","448","Local Site $1,200 — custom-coded domain-backed website with up to 15 live pages, search foundations, exact inclusions, and clear upgrade paths.","143","903","","0","Local Site","10","Why Local Site is worth $1,200","30","Exactly included","16","","","","https://knightlogics.com/package-local-launch","","","","","","17205","5352","5352","0.793","","1058","152","6.961","74.549","Fairly Easy","37.148","1","0","","11","8","0","8.080","23","12","0","1","1","0","","","","","fa78999624bc6ddaf7a36282b2fd5e7f","0.149","Sat, 25 Jul 2026 18:51:35 GMT","","","","en","1.1","","","","","","https://knightlogics.com/package-local-launch","2026-07-25 14:51:34"
"https://knightlogics.com/images/showcase/client-logos/jns-logo.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","4008","4008","4008","0.594","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.161","Sat, 25 Jul 2026 18:51:36 GMT","","","","","1.1","","","","","","https://knightlogics.com/images/showcase/client-logos/jns-logo.webp","2026-07-25 14:51:35"
