business_name,category,website,public_email,email_status,public_phone,phone_status,contact_quality,address,city,state,postal_code,opportunity_signal,opportunity_score,credibility_score,credibility_reason,distance_miles,source_confidence,source_id
Easy Roofing LLC,roofer,https://easyroofingllc.com/service-areas/pinellas-county/clearwater/,info@easyroofingllc.com,mx_ok,+18138291955,valid_format,both,State Road 580,Clearwater,FL,,Website HTTP 403; Missing meta description; No JSON-LD schema detected; No obvious contact conversion path,96,89,email MX verified; valid US phone; weak online presence,,0.85,osm:node:13015021891
JRJB Roofing Contractors,roofing,https://jrjb-roofing-contractors-inc.business.site/,jrjbroofing@aol.com,mx_ok,+18139967663,valid_format,both,400 Frandorson Cir,Apollo Beach,FL,,Website HTTP 404; Missing meta description; No JSON-LD schema detected; No obvious contact conversion path,96,89,email MX verified; valid US phone; weak online presence,,0.85,154c0917-4c2d-4456-a7b5-ec390714ee44
Florida ResCom Roofing Inc.,roofing contractor,http://flrescomroofing.com/,20office@flrescomroofing.com,mx_ok,+17274830456,valid_format,both,,Palm Harbor,FL,,No HTTPS redirect; Missing meta description,58,79,email MX verified; valid US phone,,0.85,E:\KnightLogics-Growth-System\CRM\OutreachEngine\kg_primo_1000_leads.csv
Clean Touch Power Washing | Roof Cleaning & Pressure washing - St. Petersburg,pressure washing service,http://cleantouchwashing.com/,cleantouch727@gmail.com,mx_ok,+17272541693,valid_format,both,,St. Petersburg,FL,,Missing meta description; No JSON-LD schema detected,56,79,email MX verified; valid US phone,,0.85,E:\KnightLogics-Growth-System\CRM\OutreachEngine\kg_primo_1000_leads.csv
SolyMar Roofing,roofing,https://solymarroofing.com/,solymarroofingllc@gmail.com,mx_ok,+18133307668,valid_format,both,8009 Menard St,Riverview,FL,,Missing meta description; No JSON-LD schema detected,56,79,email MX verified; valid US phone,,0.85,cd301265-551e-4e59-a0dc-198bfdc640c9
Mighty Dog Roofing of St.Pete/Clearwater,roofing contractor,https://www.mightydogroofing.com/clearwater-fl,help@mightydogroofing.com,mx_ok,+17273531463,valid_format,both,,Palm Harbor,FL,,No JSON-LD schema detected,48,77,email MX verified; valid US phone,,0.85,E:\KnightLogics-Growth-System\CRM\OutreachEngine\kg_primo_1000_leads.csv
West Coast Roofing Contractors Association,community_services_non_profits,http://www.wcrca.net/,info@wcrca.net,mx_ok,+18136665355,valid_format,both,1971 W Lumsden Rd,Brandon,FL,,No JSON-LD schema detected,48,77,email MX verified; valid US phone,,0.85,a1cfb2b3-b1a0-4066-8cab-87fefcd71aaa
Dean Roofing Company,roofer,https://deanroofs.com/,info@deanroofs.com,mx_ok,+17274466077,valid_format,both,North Martin Luther King Junior Avenue,Clearwater,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,osm:node:11650639427
Trust Roofing - Westchase,roofer,https://trustroofing.com/roofing/westchase/,robin@trustroofing.com,mx_ok,+18136404044,valid_format,both,Race Track Road,Tampa,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,osm:node:13509285127
Next Dimension Roofing & Solar,roofer,https://nextdimensionroofing.com/,marketing@nextdimensionconstruction.com,mx_ok,+13528571469,valid_format,both,Harney Rd E,Tampa,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,osm:node:11519127529
Armour Roofing,roofer,https://armourroofinc.com/roofers/tampa-fl.php,you@company.com,mx_ok,+18137733235,valid_format,both,West Inman Avenue,Tampa,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,osm:node:13058530895
Steadfast Roofing,roofer,https://steadfastroofingfl.com/roofing/tampa/,info@steadfastroofingfl.com,mx_ok,+18137264590,valid_format,both,North Armenia Avenue,Tampa,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,osm:node:13581415770
GreenTek Roofing & Solar,roofer,https://greentekroofing.com/,info@greentekroofing.com,mx_ok,+18133331963,valid_format,both,Harney Road,Thonotosassa,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,osm:node:13808100036
ARAC Roof It Forward,roofer,https://www.roofitforward.com/tampa,info@roofitforward.com,mx_ok,+18137042828,valid_format,both,North Dale Mabry Highway,Tampa,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,osm:node:13909165507
Trust Roofing,roofer,https://trustroofing.com/,info@trustroofing.com,mx_ok,+18135602998,valid_format,both,Lake Avenue Southeast,Largo,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,osm:node:11396013121
Solar Max,roofer,https://getsolarmax.com,office@getsolarmax.com,mx_ok,+17274965459,valid_format,both,66th Street North,Largo,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,osm:node:13957766394
Essential Restorations Solutions,roofer,https://erscontractor.com/,info@erscontractor.com,mx_ok,+18138087663,valid_format,both,Crystal Grove Blvd,Lutz,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,osm:node:11842946482
Hammerhead Softwash Roof Cleaning and Pressure Washing,pressure washing service,http://www.hammerheadsoftwash.com/,jmarchiselli@gmail.com,mx_ok,+17279677757,valid_format,both,,Port Richey,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,E:\KnightLogics-Growth-System\CRM\OutreachEngine\kg_primo_1000_leads.csv
Coastal Roofing & Construction LLC,roofing contractor,https://coastalroofingfla.com/,info@coastalroofingfla.com,mx_ok,+17277611371,valid_format,both,,Pinellas Park,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,E:\KnightLogics-Growth-System\CRM\OutreachEngine\kg_primo_1000_leads.csv
Blue Collar American Roofing LLC,roofing contractor,https://bcamerican.com/,contact@bcamerican.com,mx_ok,+17276471141,valid_format,both,,Pinellas Park,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,E:\KnightLogics-Growth-System\CRM\OutreachEngine\kg_primo_1000_leads.csv
