package_key,package_name,family,billing_mode,payment_option,amount_usd,interval,product_name,product_id,price_id,created_now
website-demo-preview,Demo Preview,website,payment,full,200.00,,KL - Demo Preview,prod_UefjYsbHYASEk7,price_1TfMO9ErWiwwLYoR2Rwg0B96,no
website-preview-launch,Preview Launch,website,payment,full,750.00,,KL - Preview Launch,prod_UW8ZeNIJjjqDA8,price_1Tx8fAErWiwwLYoRfwXRKw1s,no
website-local-seo-starter,Local Site,website,payment,full,1200.00,,KL - Local Site,prod_UW8ZCsmUlsw5OC,price_1Tx8fAErWiwwLYoRpTTWPd6D,no
website-local-seo-starter,Local Site,website,payment,deposit,600.00,,KL - Local Site,prod_UW8ZCsmUlsw5OC,price_1Tx8fBErWiwwLYoRfbx71Iyl,no
website-local-launch-plus,Authority Site,website,payment,full,2000.00,,KL - Authority Site,prod_UW8Z4obTD3JzoV,price_1Tx8fBErWiwwLYoRogDpzWgy,no
website-local-launch-plus,Authority Site,website,payment,deposit,1000.00,,KL - Authority Site,prod_UW8Z4obTD3JzoV,price_1Tx8fBErWiwwLYoRZQtuMmyY,no
website-local-launch-max,Max Authority Site,website,payment,full,4500.00,,KL - Max Authority Site,prod_UW8ZgzrMbObwa0,price_1TX6ILErWiwwLYoRf3lkVGj0,no
website-local-launch-max,Max Authority Site,website,payment,deposit,2000.00,,KL - Max Authority Site,prod_UW8ZgzrMbObwa0,price_1TX6ILErWiwwLYoRidTACaU3,no
website-authority-network,Authority Network,website,payment,deposit,2500.00,,KL - Authority Network,prod_Ux2kb3SNO3rCTs,price_1Tx8fCErWiwwLYoRv2GQJCLZ,no
ecommerce-preview-catalog,Store Preview,ecommerce,payment,full,750.00,,KL - Store Preview,prod_UW8ZHpu9XVJx3i,price_1TX6IMErWiwwLYoRHT8oeduo,no
ecommerce-payment-links,Payment-Link Store,ecommerce,payment,full,1200.00,,KL - Payment-Link Store,prod_UW8ZBKWkvD3foI,price_1TX6IMErWiwwLYoRhmx00did,no
ecommerce-launch,E-Commerce Launch,ecommerce,payment,full,2997.00,,KL - E-Commerce Launch,prod_UW8ZCZugvRpQ3p,price_1Tx8fDErWiwwLYoRklC4pBRQ,no
ecommerce-launch,E-Commerce Launch,ecommerce,payment,deposit,1500.00,,KL - E-Commerce Launch,prod_UW8ZCZugvRpQ3p,price_1Tx8fDErWiwwLYoROQzqWBaw,no
ecommerce-growth-store,Growth Store,ecommerce,payment,full,3997.00,,KL - Growth Store,prod_UW8ZSWuoJpfCFs,price_1TX6IPErWiwwLYoROsKhCL6d,no
ecommerce-growth-store,Growth Store,ecommerce,payment,deposit,2000.00,,KL - Growth Store,prod_UW8ZSWuoJpfCFs,price_1TX6IPErWiwwLYoRWpjyvsrn,no
ecommerce-advanced-system,Advanced E-Commerce System,ecommerce,payment,deposit,2500.00,,KL - Advanced E-Commerce System,prod_UW8Zrg5doY4YtR,price_1TX6IQErWiwwLYoRb1bmeUTk,no
gbp-setup,Google Business Profile Setup,monthly,payment,full,497.00,,KL - Google Business Profile Setup,prod_Ux2kWeOBQ95xMB,price_1Tx8fEErWiwwLYoRqFT1uNmc,no
gbp-maintenance,Google Business Profile Maintenance,monthly,subscription,full,147.00,month,KL - Google Business Profile Maintenance,prod_Ux2kThLUF5ymiz,price_1Tx8fFErWiwwLYoR10TQbqrx,no
ops-simple-lead-tracker,Missed-Call Recovery,ops,subscription,full,49.00,month,KL - Missed-Call Recovery,prod_UW8ZTQSb01cvJ5,price_1TfP0iErWiwwLYoRBhJn8SHu,no
ops-contractor-crm-starter,Lead Capture + Follow-Up,ops,subscription,full,97.00,month,KL - Lead Capture + Follow-Up,prod_UW8Zoapio2IO8o,price_1TfP0jErWiwwLYoReiaoaPEt,no
ops-job-records-system,Estimate Follow-Up,ops,subscription,full,97.00,month,KL - Estimate Follow-Up,prod_UW8ZsglciPlLBV,price_1Tx8fFErWiwwLYoRdR81rvX2,no
ops-automated-job-records,Review Request Automation,ops,subscription,full,49.00,month,KL - Review Request Automation,prod_UW8ZJC68DRxxZb,price_1Tx8fGErWiwwLYoRXjjh5sCE,no
monthly-local-seo-starter,Visibility Lite,monthly,subscription,full,197.00,month,KL - Visibility Lite,prod_UW8ZfTorOq8WLW,price_1TX6ISErWiwwLYoRs6D7vkmF,no
monthly-visibility-standard,Visibility Standard,monthly,subscription,full,397.00,month,KL - Visibility Standard,prod_UW8Z3kpPtjARRj,price_1TX6ISErWiwwLYoRUFjmq6US,no
monthly-visibility-pro,Visibility Pro,monthly,subscription,full,697.00,month,KL - Visibility Pro,prod_UW8ZO1OcRbvILP,price_1TX6ITErWiwwLYoRKfTAyBIm,no
care-website,Website Care,monthly,subscription,full,147.00,month,KL - Website Care,prod_Ux2k4ZHFzILjxl,price_1Tx8fHErWiwwLYoRxlj9p1jn,no
ecommerce-care-lite,E-Commerce Care Lite,monthly,subscription,full,197.00,month,KL - E-Commerce Care Lite,prod_Ux2kyW2KtGf66C,price_1Tx8fHErWiwwLYoRQlzkfoqj,no
ecommerce-care-standard,E-Commerce Care Standard,monthly,subscription,full,397.00,month,KL - E-Commerce Care Standard,prod_Ux2kSp2KR8iHbU,price_1Tx8fIErWiwwLYoRMTvkBnsq,no
